name,edibility_raw,edibility_label,url
Macrocystidia cucumis,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6943_gid__source_gallerydefault.html
Macrolepiota procera,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6935_gid__source_gallerydefault.html
Macrolepiota procera,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6312_gid__source_gallerydefault.html
Macrolepiota rhacodes,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6386_gid__source_gallerydefault.html
Macroscyphus macropus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6381_gid__source_gallerydefault.html
Macroscyphus macropus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6004_gid__source_gallerydefault.html
Macrotyphula juncea,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6387_gid__source_gallerydefault.html
Marasmiellus nigripes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6389_gid__source_gallerydefault.html
Marasmiellus ramealis,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6390_gid__source_gallerydefault.html
Marasmiellus vaillantii,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6391_gid__source_gallerydefault.html
Marasmius alliaceus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6392_gid__source_gallerydefault.html
Marasmius androsaceus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6393_gid__source_gallerydefault.html
Marasmius cohaerens,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6394_gid__source_gallerydefault.html
Marasmius cystidiosus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6395_gid__source_gallerydefault.html
Marasmius delectans,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6396_gid__source_gallerydefault.html
Marasmius epiphyllus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6397_gid__source_gallerydefault.html
Marasmius olidus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6398_gid__source_gallerydefault.html
Marasmius oreades,Choice,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6399_gid__source_gallerydefault.html
Marasmius rotula,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6400_gid__source_gallerydefault.html
Marasmius siccus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6402_gid__source_gallerydefault.html
Marasmius strictipes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6403_gid__source_gallerydefault.html
Marasmius sullivanti,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6404_gid__source_gallerydefault.html
Marasmius undatus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6405_gid__source_gallerydefault.html
Melanoleuca alboflavida,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6407_gid__source_gallerydefault.html
Melanoleuca arcuata,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6408_gid__source_gallerydefault.html
Melanoleuca cognata,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6409_gid__source_gallerydefault.html
Melanoleuca grammopodia,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6410_gid__source_gallerydefault.html
Melanoleuca polioleuca,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6411_gid__source_gallerydefault.html
Melanoleuca strictipes,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6412_gid__source_gallerydefault.html
Melanoleuca turrita,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6944_gid__source_gallerydefault.html
Melanophyllum echinatum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6414_gid__source_gallerydefault.html
Naucoria bohemica,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6519_gid__source_gallerydefault.html
Naucoria centunculus,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6520_gid__source_gallerydefault.html
Naucoria escharoides,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6521_gid__source_gallerydefault.html
Naucoria scolecina,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6522_gid__source_gallerydefault.html
Neolecta irregularis,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6528_gid__source_gallerydefault.html
Neolentinus schaefferi,Edible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_12060_gid__source_gallerydefault.html
Neottiella rutilans,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6529_gid__source_gallerydefault.html
Nidula candida,,unknown,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6530_gid__source_gallerydefault.html
Nidularia farcata,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6531_gid__source_gallerydefault.html
Nolanea cetrata,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6532_gid__source_gallerydefault.html
Nolanea farinolens,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6533_gid__source_gallerydefault.html
Nolanea hirtipes,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6534_gid__source_gallerydefault.html
Nolanea lucida,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6535_gid__source_gallerydefault.html
Nolanea staurospora,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6536_gid__source_gallerydefault.html
Oligoporus caesius,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6537_gid__source_gallerydefault.html
Oligoporus fragilis,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6538_gid__source_gallerydefault.html
Omphalina ectypoides,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6540_gid__source_gallerydefault.html
Omphalina ericetorum,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6541_gid__source_gallerydefault.html
Omphalina griseopallida,Inedible,edible,https://rogersmushrooms.com/gallery/DisplayBlock_bid_6542_gid__source_gallerydefault.html
